Epoch,Train Loss,Validation Loss,Learning Rate
1,20.7357635,23.56736088,0.001
2,13.83769207,21.98245541,0.000996061
3,11.4390265,10.73699443,0.000984307
4,9.668377757,10.87534165,0.000964923
5,8.290105247,9.124686797,0.000938215
6,7.771389055,13.22484295,0.000904604
7,7.422835851,7.912008286,0.00086462
8,6.046544671,9.551972548,0.000818893
9,6.54637295,14.42609278,0.000768145
10,5.736966574,9.201009909,0.000713177
11,5.316379094,10.6812501,0.000654854
12,5.204656899,7.79272,0.000594097
13,4.981068933,8.975139856,0.000531864
14,4.432913017,8.628007968,0.000469136
15,4.281520569,8.817322413,0.000406903
16,4.597230268,7.688309431,0.000346146
17,3.563087529,9.213007291,0.000287823
18,3.569308788,7.941474438,0.000232855
19,3.796571517,8.254036585,0.000182107
20,3.767736149,8.056514899,0.00013638
21,3.494727248,7.383344253,9.64E-05
22,2.9345456,7.842958609,6.28E-05
23,2.958259159,7.70075353,3.61E-05
24,3.431008124,8.364962419,1.67E-05
25,3.388318014,7.844986995,4.94E-06
