Epoch,Train Loss,Validation Loss
1,22.00036974,13.58263098
2,14.24203712,12.90017637
3,10.79357684,11.62567729
4,9.452975983,12.82755329
5,8.563157231,9.855363967
6,7.328780748,9.637719021
7,6.856308947,11.46007951
8,6.122420173,10.24844751
9,6.113171993,15.29290137
10,5.802297971,10.49541872
11,5.471399807,9.953467191
12,5.455531042,8.840839926
13,4.892066245,10.10931171
14,4.476293717,9.747543405
15,4.410760621,8.387802703
16,5.091105845,8.09406573
17,4.717914074,9.440016041
18,4.332660959,7.292044614
19,4.955001861,8.860333691
20,4.037986635,7.696944962
